Location,Area,Type,BHK,Sqft,Furnish,Transaction,Status,PriceperSqrt,Price
Chennai,Sembakkam,Flat,3 BHK,923 sqft,Unfurnish,New Property,Possession by Mar '22,,₹ 64.4 Lac
Chennai,Medavakkam,Flat,2 BHK,800 sqft,Unfurnish,New Property,Ready to Move,₹ 6000 per sqft,₹ 48 Lac
Chennai,Mogappair West,Flat,2 BHK,1288 sqft,Unfurnish,New Property,Possession by Sep '23,₹ 6690 per sqft,₹ 86.2 Lac
Chennai,Tiruvottiyur,Flat,3 BHK,1117 sqft,Unfurnish,New Property,Ready to Move,₹ 4300 per sqft,₹ 48 Lac
Chennai,Thirumazhisai,Flat,3 BHK,620 sqft,Unfurnish,New Property,Possession by Mar '24,,₹ 29.2 Lac
Chennai,Poonamallee,Flat,2 BHK,622 sqft,Unfurnish,New Property,Possession by Jan '22,,₹ 47 Lac
Chennai,Pallikaranai,Flat,3 BHK,1080 sqft,Unfurnish,New Property,Possession by Jan '22,,₹ 81.7 Lac
Chennai,Manapakkam,Flat,3 BHK,1027 sqft,Unfurnish,New Property,Possession by Jul '22,,₹ 85.8 Lac
Chennai,Kottivakkam,Flat,2 BHK,1066 sqft,Unfurnish,New Property,Possession by Mar '22,₹ 7999 per sqft,₹ 85.3 Lac
Chennai,Virugambakkam,Flat,3 BHK,1450 sqft,Unfurnish,New Property,Possession by Mar '22,₹ 9034 per sqft,₹ 1.31 Cr
Chennai,Sholinganallur,Flat,2 BHK,1245 sqft,Unfurnish,New Property,Possession by Mar '22,₹ 4599 per sqft,₹ 57.3 Lac
Chennai,Madipakkam,Flat,2 BHK,850 sqft,Unfurnish,Old Property,Possession by Dec '21,,₹ 67.6 Lac
Chennai,Iyyappanthangal,Flat,1 BHK,500 sqft,Furnish,Old Property,Ready to Move,,₹ 48 Lac
Chennai,Perungudi,Flat,2 BHK,799 sqft,Unfurnish,New Property,Possession by Jan '23,,₹ 52 Lac
Chennai,Kamakoti Nagar Pallikaranai,Flat,3 BHK,1400 sqft,Unfurnish,New Property,Possession by Aug '22,,₹ 81.2 Lac
Chennai,Tambaram East,Flat,3 BHK,927 sqft,Unfurnish,New Property,Possession by Oct '22,,₹ 69 Lac
Chennai,Perungudi,Flat,2 BHK,1184 sqft,Unfurnish,New Property,Possession by Dec '22,₹ 7432 per sqft,₹ 88 Lac
Chennai,Chromepet GST Road,Flat,3 BHK,1170 sqft,Unfurnish,New Property,Possession by Jan '22,,₹ 75.8 Lac
Chennai,Perungudi,Flat,3 BHK,1006 sqft,Unfurnish,New Property,Possession by Apr '22,,₹ 72 Lac
Chennai,Mogappair West,Flat,2 BHK,678 sqft,Unfurnish,New Property,Possession by Sep '23,,₹ 72.1 Lac
Chennai,Madambakkam,Flat,2 BHK,576 sqft,Furnish,Old Property,Ready to Move,,₹ 51 Lac
Chennai,Vetri Nagar Perambur,Flat,1 BHK,500 sqft,Furnish,Old Property,Ready to Move,,₹ 35 Lac
Chennai,New Avadi Road,Flat,2 BHK,1028 sqft,Unfurnish,Old Property,Ready to Move,₹ 8754 per sqft,₹ 90 Lac
Chennai,Karayanchavadi,Flat,2 BHK,725 sqft,Unfurnish,Old Property,Ready to Move,,₹ 38 Lac
Chennai,Oragadam,Flat,3 BHK,1400 sqft,Furnish,New Property,Ready to Move,,₹ 98 Lac
Chennai,Ponmar,Flat,2 BHK,645 sqft,Furnish,Old Property,Ready to Move,,₹ 30 Lac
Chennai,Guduvancheri,Flat,3 BHK,1514 sqft,Furnish,Old Property,Ready to Move,,₹ 62.5 Lac
Chennai,Perungudi,Flat,3 BHK,1402 sqft,Unfurnish,Old Property,Ready to Move,,₹ 99 Lac
Chennai,Varadaraja Puram Ambattur,Flat,3 BHK,1784 sqft,Furnish,Old Property,Ready to Move,₹ 3643 per sqft,₹ 65 Lac
Chennai,Mudichur,Flat,2 BHK,745 sqft,Unfurnish,Old Property,Ready to Move,₹ 5235 per sqft,₹ 39 Lac
Chennai,Nanmangalam,Flat,2 BHK,700 sqft,Unfurnish,Old Property,Ready to Move,,₹ 34.5 Lac
Chennai,Pasumpon Nagar Kallikuppam Ambattur Chennai Bypass Road,Flat,2 BHK,874 sqft,Furnish,New Property,Ready to Move,,₹ 45 Lac
Chennai,Kattukuppam Ennore,Flat,2 BHK,912 sqft,Furnish,Old Property,Ready to Move,,₹ 44 Lac
Chennai,Kandigai,Flat,3 BHK,1262 sqft,Unfurnish,Old Property,Ready to Move,,₹ 60 Lac
Chennai,Mogappair East,Flat,3 BHK,1000 sqft,Unfurnish,Old Property,Ready to Move,,₹ 1.10 Cr
Chennai,Kazhipattur,Flat,2 BHK,986 sqft,Unfurnish,Old Property,Ready to Move,,₹ 40 Lac
Chennai,T Nagar,Flat,3 BHK,1165 sqft,Unfurnish,Old Property,Ready to Move,,₹ 1.31 Cr
Chennai,Ponmar,Flat,3 BHK,1280 sqft,Unfurnish,Old Property,Ready to Move,,₹ 45 Lac
Chennai,Kovilambakkam,Flat,2 BHK,1050 sqft,Unfurnish,Old Property,Ready to Move,₹ 3810 per sqft,₹ 40 Lac
Chennai,Oragadam,Flat,3 BHK,1320 sqft,Unfurnish,Old Property,Ready to Move,₹ 4545 per sqft,₹ 60 Lac
Chennai,Pallikaranai,Flat,1 BHK,620 sqft,Furnish,Old Property,Ready to Move,₹ 6129 per sqft,₹ 38 Lac
Chennai,Nandivaram Guduvancheri,Flat,2 BHK,900 sqft,Unfurnish,Old Property,Ready to Move,₹ 4444 per sqft,₹ 40 Lac
Chennai,Athipatttu,Flat,1 BHK,630 sqft,Furnish,Old Property,Ready to Move,₹ 4762 per sqft,₹ 30 Lac
Chennai,Unknown,Flat,3 BHK,1410 sqft,Unfurnish,Old Property,Ready to Move,₹ 4965 per sqft,₹ 70 Lac
Chennai,Mogappair West,Flat,2 BHK,1019 sqft,Furnish,Old Property,Ready to Move,₹ 6016 per sqft,₹ 61.3 Lac
Chennai,Jamalia,Flat,2 BHK,590 sqft,Furnish,Old Property,Ready to Move,₹ 7966 per sqft,₹ 47 Lac
Chennai,Oragadam,Flat,2 BHK,515 sqft,Furnish,Old Property,Ready to Move,,₹ 45 Lac
Chennai,Padapai,Flat,2 BHK,969 sqft,Unfurnish,New Property,Ready to Move,,₹ 35 Lac
Chennai,Ayanambakkam,Flat,3 BHK,1805 sqft,Furnish,Old Property,Ready to Move,₹ 5263 per sqft,₹ 95 Lac
Chennai,Perungudi,Flat,3 BHK,1525 sqft,Furnish,Old Property,Ready to Move,₹ 7541 per sqft,₹ 1.15 Cr
Chennai,Korattur Jawaharlal Nehru Road,Flat,2 BHK,1091 sqft,Unfurnish,Old Property,Ready to Move,₹ 7333 per sqft,₹ 80 Lac
Chennai,Keelkattalai,Flat,1 BHK,600 sqft,Unfurnish,New Property,Ready to Move,,₹ 36 Lac
Chennai,Unknown,Flat,2 BHK,831 sqft,Unfurnish,Old Property,Ready to Move,₹ 3610 per sqft,₹ 30 Lac
