Location,Area,Type,BHK,Furnish,Transaction,Status,Price_Lac,Area_Sqft,Price/Sqft
Chennai,Virugambakkam,Flat,3.0,Unfurnish,New Property,Mar 2022,131.0,1450.0,9034.0
Chennai,Sholinganallur,Flat,2.0,Unfurnish,New Property,Mar 2022,57.3,1245.0,4599.0
Chennai,Madipakkam,Flat,2.0,Unfurnish,Old Property,Dec 2021,67.6,850.0,7952.94
Chennai,Iyyappanthangal,Flat,1.0,Furnish,Old Property,Dec 2021,48.0,500.0,9600.0
Chennai,Perungudi,Flat,2.0,Unfurnish,New Property,Jan 2023,52.0,799.0,6508.14
Chennai,Kamakoti Nagar Pallikaranai,Flat,3.0,Unfurnish,New Property,Aug 2022,81.2,1400.0,5800.0
Chennai,Tambaram East,Flat,3.0,Unfurnish,New Property,Oct 2022,69.0,927.0,7443.37
Chennai,Perungudi,Flat,2.0,Unfurnish,New Property,Dec 2022,88.0,1184.0,7432.0
Chennai,Chromepet GST Road,Flat,3.0,Unfurnish,New Property,Jan 2022,75.8,1170.0,6478.63
Chennai,Perungudi,Flat,3.0,Unfurnish,New Property,Apr 2022,72.0,1006.0,7157.06
Chennai,Mogappair West,Flat,2.0,Unfurnish,New Property,Sep 2023,72.1,678.0,10634.22
Chennai,Madambakkam,Flat,2.0,Furnish,Old Property,Dec 2021,51.0,576.0,8854.17
Chennai,Vetri Nagar Perambur,Flat,1.0,Furnish,Old Property,Dec 2021,35.0,500.0,7000.0
Chennai,New Avadi Road,Flat,2.0,Unfurnish,Old Property,Dec 2021,90.0,1028.0,8754.0
Chennai,Karayanchavadi,Flat,2.0,Unfurnish,Old Property,Dec 2021,38.0,725.0,5241.38
Chennai,Oragadam,Flat,3.0,Furnish,New Property,Dec 2021,98.0,1400.0,7000.0
Chennai,Ponmar,Flat,2.0,Furnish,Old Property,Dec 2021,30.0,645.0,4651.16
Chennai,Guduvancheri,Flat,3.0,Furnish,Old Property,Dec 2021,62.5,1514.0,4128.14
Chennai,Perungudi,Flat,3.0,Unfurnish,Old Property,Dec 2021,99.0,1402.0,7061.34
Chennai,Varadaraja Puram Ambattur,Flat,3.0,Furnish,Old Property,Dec 2021,65.0,1784.0,3643.0
Chennai,Mudichur,Flat,2.0,Unfurnish,Old Property,Dec 2021,39.0,745.0,5235.0
Chennai,Nanmangalam,Flat,2.0,Unfurnish,Old Property,Dec 2021,34.5,700.0,4928.57
Chennai,Pasumpon Nagar Kallikuppam Ambattur Chennai Bypass Road,Flat,2.0,Furnish,New Property,Dec 2021,45.0,874.0,5148.74
Chennai,Kattukuppam Ennore,Flat,2.0,Furnish,Old Property,Dec 2021,44.0,912.0,4824.56
Chennai,Kandigai,Flat,3.0,Unfurnish,Old Property,Dec 2021,60.0,1262.0,4754.36
Chennai,Mogappair East,Flat,3.0,Unfurnish,Old Property,Dec 2021,110.00000000000001,1000.0,11000.0
Chennai,Kazhipattur,Flat,2.0,Unfurnish,Old Property,Dec 2021,40.0,986.0,4056.8
Chennai,T Nagar,Flat,3.0,Unfurnish,Old Property,Dec 2021,131.0,1165.0,11244.64
Chennai,Ponmar,Flat,3.0,Unfurnish,Old Property,Dec 2021,45.0,1280.0,3515.62
Chennai,Kovilambakkam,Flat,2.0,Unfurnish,Old Property,Dec 2021,40.0,1050.0,3810.0
Chennai,Oragadam,Flat,3.0,Unfurnish,Old Property,Dec 2021,60.0,1320.0,4545.0
Chennai,Pallikaranai,Flat,1.0,Furnish,Old Property,Dec 2021,38.0,620.0,6129.0
Chennai,Nandivaram Guduvancheri,Flat,2.0,Unfurnish,Old Property,Dec 2021,40.0,900.0,4444.0
Chennai,Athipatttu,Flat,1.0,Furnish,Old Property,Dec 2021,30.0,630.0,4762.0
Chennai,Unknown,Flat,3.0,Unfurnish,Old Property,Dec 2021,70.0,1410.0,4965.0
Chennai,Mogappair West,Flat,2.0,Furnish,Old Property,Dec 2021,61.3,1019.0,6016.0
Chennai,Jamalia,Flat,2.0,Furnish,Old Property,Dec 2021,47.0,590.0,7966.0
Chennai,Oragadam,Flat,2.0,Furnish,Old Property,Dec 2021,45.0,515.0,8737.86
Chennai,Padapai,Flat,2.0,Unfurnish,New Property,Dec 2021,35.0,969.0,3611.97
Chennai,Ayanambakkam,Flat,3.0,Furnish,Old Property,Dec 2021,95.0,1805.0,5263.0
Chennai,Perungudi,Flat,3.0,Furnish,Old Property,Dec 2021,114.99999999999999,1525.0,7541.0
Chennai,Korattur Jawaharlal Nehru Road,Flat,2.0,Unfurnish,Old Property,Dec 2021,80.0,1091.0,7333.0
Chennai,Keelkattalai,Flat,1.0,Unfurnish,New Property,Dec 2021,36.0,600.0,6000.0
Chennai,Unknown,Flat,2.0,Unfurnish,Old Property,Dec 2021,30.0,831.0,3610.0
Chennai,Thalambur,Flat,2.0,Unfurnish,Old Property,Dec 2021,45.0,832.0,5409.0
Chennai,Perungalathur Chennai Bypass Road,Flat,3.0,Furnish,Old Property,Dec 2021,75.0,1350.0,5555.56
Chennai,Perambur,Flat,2.0,Furnish,Old Property,Dec 2021,50.0,875.0,5714.0
Chennai,Madhavaram Guntur Chennai Highway,Flat,2.0,Furnish,Old Property,Jan 2022,72.8,894.0,8143.18
Chennai,Selaiyur,Flat,2.0,Furnish,Old Property,Dec 2021,62.0,976.0,6352.46
Chennai,Kolathur,Flat,2.0,Unfurnish,Old Property,May 2022,56.5,589.0,9592.53
Chennai,Ambedkar Nagar Manapakkam,Flat,3.0,Furnish,Old Property,Dec 2021,90.0,1200.0,7500.0
Chennai,Perumbakkam,Flat,3.0,Unfurnish,Old Property,Dec 2021,80.0,1476.0,5420.0
Chennai,Pudupakkam,Flat,3.0,Unfurnish,Old Property,Dec 2021,114.99999999999999,1953.0,5888.0
Chennai,Valasaravakkam Arcot Road,Flat,2.0,Unfurnish,New Property,Dec 2021,64.8,850.0,7624.0
Chennai,Madipakkam,Flat,2.0,Furnish,Old Property,Dec 2021,45.0,750.0,6000.0
Chennai,Thirumullaivoyal,Flat,2.0,Furnish,Old Property,Dec 2021,39.0,480.0,8125.0
Chennai,Tambaram West Tambaram Chennai Bypass Road,Flat,3.0,Furnish,Old Property,Dec 2021,55.0,1226.0,4486.13
Chennai,Egattur Uthandi,Flat,3.0,Furnish,Old Property,Dec 2021,135.0,1695.0,7965.0
Chennai,Ponniammanmedu,Flat,2.0,Unfurnish,Old Property,Jan 2022,72.8,894.0,8143.18
Chennai,Surapet,Flat,2.0,Unfurnish,New Property,Dec 2021,45.0,920.0,5521.0
Chennai,Krishna Nagar Tambaram West,Flat,3.0,Unfurnish,Old Property,Dec 2021,55.0,1034.0,5319.15
Chennai,Virugambakkam,Flat,2.0,Unfurnish,Old Property,Dec 2021,80.0,1200.0,6666.67
Chennai,Ambattur,Flat,3.0,Furnish,New Property,Dec 2021,69.6,1600.0,4350.0
Chennai,Navalur,Flat,3.0,Unfurnish,Old Property,Dec 2021,114.99999999999999,1350.0,8518.52
Chennai,Velachery,Flat,3.0,Unfurnish,New Property,Jan 2023,145.0,1300.0,11153.85
Chennai,Ram Garden Soumya Nagar,Flat,2.0,Unfurnish,Old Property,Dec 2021,62.0,687.0,9024.75
Chennai,Shanmuga Nagar Pozhichalur,Flat,3.0,Furnish,Old Property,Dec 2021,90.0,1460.0,6164.38
Chennai,Pallavaram,Flat,2.0,Unfurnish,New Property,Aug 2022,72.5,1024.0,7080.0
Chennai,Padmavathi Nagar,Flat,1.0,Unfurnish,Old Property,Dec 2021,35.0,435.0,8045.98
Chennai,Veerabhadra Nagar,Flat,2.0,Unfurnish,Old Property,Dec 2021,48.4,1100.0,4400.0
Chennai,Pallikaranai,Flat,2.0,Furnish,Old Property,Dec 2021,43.0,880.0,4886.36
Chennai,Navalur,Flat,2.0,Unfurnish,New Property,Apr 2022,47.0,785.0,5987.26
Chennai,Oragadam Sriperumbudur,Flat,3.0,Furnish,Old Property,Dec 2021,38.0,885.0,4293.79
